"concept_id","view","group","canonical_concept","user_language_examples","observation_focus","concept_kind"
"PF-A01","A","身体/外在","外在吸引","好看;顺眼;帅;漂亮;有气质;高颜值","区分社会外貌评价、个人顺眼和生理吸引","profile_or_perceived"
"PF-A02","A","身体/外在","身高/体型","身高高;高挑;瘦;有腹肌;身材好","客观身体条件与主观偏好分开","profile_fact"
"PF-A03","A","人口/阶段","年龄","年龄合适;年上;年下","只作为现实条件，不推成熟度","profile_fact"
"PF-A04","A","教育/文化","教育与文化资本","高学历;名校;毕业院校","观察真实能力、价值和生活方式，不把学历等同能力","profile_fact"
"PF-A05","A","职业/工作","职业与组织类型","大厂;公务员;体制内;国企;外企;创业","职业是生活条件和资源约束，不直接推人格","profile_fact"
"PF-A06","A","经济","当前收入与经济稳定","高收入;会赚钱;收入稳定;收入波动","区分当前收入、稳定性、赚钱能力和未来潜力","profile_fact"
"PF-A07","A","资产/居住","住房与资产","有房;有车;租房;房贷","观察生活安全、债务、城市选择和家庭资源","profile_fact"
"PF-A08","A","家庭资源","家庭经济与支持资源","家庭条件好;父母能支持","区分资源支持与家庭介入","profile_fact"
"PF-A09","A","婚育事实","婚史与孩子状态","未婚;离异;有孩子;无孩子","事实不等于未来婚育意图","profile_fact"
"PF-A10","A","健康/基础生活","健康与基础生活事实","身体健康;不抽烟;少喝酒","生活事实与健康习惯分开","profile_fact"
"PF-B01","B","地域/流动","城市/地域与迁移约束","本地人;异地;户口;籍贯;城乡出身","关注迁移成本与家庭网络","context"
"PF-B02","B","家庭结构","原生家庭结构","独生子女;兄弟姐妹;父母婚姻","只作为 Context，不推人格","context"
"PF-B03","B","亲属网络","父母距离与亲属支持","父母同城;与父母同住;亲属可帮带娃","同时可能是资源和边界来源","context"
"PF-B04","B","人生经历","重要经历","过去关系;创业;失业;疾病;长期照护","经历可能塑造模式，但不能直接定性","context"
"PF-B05","B","当前压力","当前现实负担","债务;父母生病;高压工作;带孩子","决定当前可投入关系的资源","context"
