"entry_id","series_id","series_name","entry_label","mapped_person_concepts","mapping_status","note"
"S01-E01","S01","工作岗位 / 工作方式系列","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","岗位词需后续补来源覆盖，后台先按工作结构展开"
"S01-E01","S01","工作岗位 / 工作方式系列","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","岗位词需后续补来源覆盖"
"S01-E01","S01","工作岗位 / 工作方式系列","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","国企 / 稳定组织","PF-A05;PF-D05","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","教师","PF-A05;PF-B06","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","具体职业入口，后台重点看轮班/值班"
"S01-E01","S01","工作岗位 / 工作方式系列","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","后台重点看社交与时间结构"
"S01-E01","S01","工作岗位 / 工作方式系列","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed",""
"S01-E01","S01","工作岗位 / 工作方式系列","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed",""
"S01-E01","S01","工作岗位 / 工作方式系列","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","夜班 / 轮班工作","PF-B06;PF-F06","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","工作清闲 / 低事业投入","PF-F01;PF-D05","mapped",""
"S01-E01","S01","工作岗位 / 工作方式系列","双城 / 长期异地工作","PF-B01;PF-B06","mapped",""
"S02-E01","S02","性格 / 气质系列","老实","PF-G08;PF-F04;PF-G05","needs_resolution","高风险混层词，不能直接推出忠诚/责任"
"S02-E01","S02","性格 / 气质系列","情绪稳定","PF-E03","mapped",""
"S02-E01","S02","性格 / 气质系列","理性","PF-E02;PF-E03","mapped",""
"S02-E01","S02","性格 / 气质系列","强势 / 有主见","PF-G09;PF-E02","mapped",""
"S02-E01","S02","性格 / 气质系列","随和 / 脾气好","PF-G05;PF-E03","mapped",""
"S02-E01","S02","性格 / 气质系列","敏感","PF-E03;PF-G01","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","内向","PF-F04","needs_resolution","社交倾向入口，不等于低社交能力"
"S02-E01","S02","性格 / 气质系列","外向","PF-F04","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","慢热","PF-G01;PF-F04","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","开朗","PF-F04;PF-G01","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","完美主义","PF-F08;PF-E02","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","谨慎","PF-D05;PF-F08","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","冒险","PF-D04;PF-D03","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","浪漫","PF-F07","needs_resolution",""
"S02-E01","S02","性格 / 气质系列","有趣 / 幽默","PF-F07;PF-F04","needs_resolution",""
"S03-E01","S03","生活方式 / 习惯系列","自律","PF-F05;PF-F06;PF-F08","mapped",""
"S03-E01","S03","生活方式 / 习惯系列","爱健身","PF-F05","mapped",""
