"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","mapping_confidence","mapping_note"
"NF-R001","NF01","preference_shape","门槛","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R002","NF01","preference_shape","越高越好但边际递减","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R003","NF01","preference_shape","最舒服区间","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R004","NF01","preference_shape","两人匹配","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R005","NF01","preference_shape","条件性交换","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R006","NF01","preference_shape","可承受代价","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R007","NF01","preference_shape","安全边界","Need / Fit Space","N2｜Need Shape / Preference Function","threshold_range_satiation","high",""
"NF-R008","NF01","need_content","看着顺眼/生理吸引","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R009","NF01","need_content","经济稳定","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R010","NF01","need_content","事业心/成长性","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R011","NF01","need_content","陪伴和共同时间","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R012","NF01","need_content","被理解/情绪回应","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R013","NF01","need_content","自由和个人空间","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R014","NF01","need_content","家庭投入","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R015","NF01","need_content","社交活力/有趣","Need / Fit Space","N1｜Need Content","need_or_user_language","medium",""
"NF-R016","NF01","relationship_process","回应","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R017","NF01","relationship_process","可靠","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R018","NF01","relationship_process","公平","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R019","NF01","relationship_process","边界","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R020","NF01","relationship_process","冲突","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R021","NF01","relationship_process","修复","Need / Fit Space","N3｜Fulfillment / Relationship Mechanism","fulfillment_mechanism","high",""
"NF-R022","NF01","fit_example","相似可以舒服","Need / Fit Space","N4｜Fit Mode / Coordination","fit_relation","high",""
"NF-R023","NF01","fit_example","互补也可以舒服","Need / Fit Space","N4｜Fit Mode / Coordination","fit_relation","high",""
"NF-R024","NF01","fit_example","差异本身不自动扣分","Need / Fit Space","N4｜Fit Mode / Coordination","fit_relation","high",""
"NF-R025","NF01","fit_example","关键是具体组合","Need / Fit Space","N4｜Fit Mode / Coordination","fit_relation","high",""
