"topic_seed_id","series_id","series_name","entry_id","entry_label","mapped_person_concepts","entry_mapping_status","template_id","scene_focus","primary_need_id","topic_seed","generation_method","review_status"
"ST2-0001","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「大厂 / 高强度白领」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0002","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T02","同居 / 作息","NF-N1-05","和「大厂 / 高强度白领」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0003","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T03","事业机会 / 城市","NF-N1-12","「大厂 / 高强度白领」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0004","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T04","育儿 / 家庭责任","NF-N1-07","「大厂 / 高强度白领」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0005","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T05","关键时刻","NF-N1-07","和「大厂 / 高强度白领」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
"ST2-0006","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「程序员 / 技术岗」谈恋爱：这份工作每天真正还能留下多少时间给关系？","series_seed_v0.2","unreviewed"
"ST2-0007","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「程序员 / 技术岗」住在一起以后：工作节奏会怎样进入你们的作息和日常？","series_seed_v0.2","unreviewed"
"ST2-0008","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「程序员 / 技术岗」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","series_seed_v0.2","unreviewed"
"ST2-0009","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「程序员 / 技术岗」有了孩子以后：工作责任和家庭责任怎么同时扛？","series_seed_v0.2","unreviewed"
"ST2-0010","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T05","关键时刻","NF-N1-07","和「程序员 / 技术岗」在一起，平时忙不忙是一回事；真正需要对方时能不能出现，是另一回事。","series_seed_v0.2","unreviewed"
