"raw_id","source_id","raw_layer","raw_term","notes"
"SC-R001","SC01","life_stage","认识/相亲",""
"SC-R002","SC01","life_stage","恋爱",""
"SC-R003","SC01","life_stage","稳定交往",""
"SC-R004","SC01","life_stage","同居",""
"SC-R005","SC01","life_stage","结婚/长期伴侣",""
"SC-R006","SC01","life_stage","备孕/怀孕",""
"SC-R007","SC01","life_stage","生育",""
"SC-R008","SC01","life_stage","育儿",""
"SC-R009","SC01","life_stage","孩子成长/教育",""
"SC-R010","SC01","life_stage","事业变化期",""
"SC-R011","SC01","life_stage","父母变老",""
"SC-R012","SC01","life_stage","中年",""
"SC-R013","SC01","life_stage","退休",""
"SC-R014","SC01","life_stage","老年",""
"SC-R015","SC01","shared_life_domain","日常作息",""
"SC-R016","SC01","shared_life_domain","工作",""
"SC-R017","SC01","shared_life_domain","钱",""
"SC-R018","SC01","shared_life_domain","家务",""
"SC-R019","SC01","shared_life_domain","孩子",""
"SC-R020","SC01","shared_life_domain","双方父母",""
"SC-R021","SC01","shared_life_domain","社交",""
"SC-R022","SC01","shared_life_domain","兴趣",""
"SC-R023","SC01","shared_life_domain","个人空间",""
"SC-R024","SC01","shared_life_domain","性",""
"SC-R025","SC01","shared_life_domain","健康",""
"SC-R026","SC01","shared_life_domain","地点和居住",""
"SC-R027","SC01","shared_life_domain","价值和意义",""
"SC-R028","SC01","stress_event","失业",""
"SC-R029","SC01","stress_event","创业",""
"SC-R030","SC01","stress_event","生病",""
"SC-R031","SC01","stress_event","父母住院",""
"SC-R032","SC01","stress_event","异地",""
"SC-R033","SC01","stress_event","搬家",""
"SC-R034","SC01","stress_event","孩子生病",""
"SC-R035","SC01","stress_event","长期加班",""
"SC-R036","SC01","stress_event","经济压力",""
"SC-R037","SC01","interaction_dynamic","重复发生",""
"SC-R038","SC01","interaction_dynamic","严重程度",""
"SC-R039","SC01","interaction_dynamic","发生频率",""
"SC-R040","SC01","interaction_dynamic","持续时间",""
"SC-R041","SC01","interaction_dynamic","当前压力",""
"SC-R042","SC01","interaction_dynamic","对方回应和调整",""
"SC-R043","SC01","interaction_dynamic","能否修复",""
"SC-R044","SC02","person_resource","时间",""
"SC-R045","SC02","person_resource","精力",""
"SC-R046","SC02","person_resource","注意力",""
