"concept_id","view","group","canonical_concept","examples","content_use"
"SC-S1-01","S1","人生/关系阶段","认识/相亲","初识;相亲;朋友介绍","关系尚未建立，主要是信息与第一印象"
"SC-S1-02","S1","人生/关系阶段","恋爱/磨合","刚恋爱;热恋;磨合","高投入但尚未完全共同生活"
"SC-S1-03","S1","人生/关系阶段","稳定交往","稳定恋爱;长期交往","节奏开始固定，重复模式出现"
"SC-S1-04","S1","人生/关系阶段","同居/婚前","同居;试婚;频繁住一起","日常习惯、家务、钱和空间显性化"
"SC-S1-05","S1","人生/关系阶段","结婚/建立家庭","新婚;婚后","共同财务、家庭角色、父母边界更具体"
"SC-S1-06","S1","人生/关系阶段","备孕/怀孕/生育","备孕;怀孕;生产","身体、工作、钱和照护开始重分配"
"SC-S1-07","S1","人生/关系阶段","婴幼儿照护","新生儿;带娃;产后","睡眠、育儿、家务、工作冲突高密度出现"
"SC-S1-08","S1","人生/关系阶段","孩子成长/教育","入园;上学;教育","教育投入、接送、家校与职业安排"
"SC-S1-09","S1","人生/关系阶段","中年多重责任","中年;上有老下有小","事业、孩子、父母、健康同时争夺资源"
"SC-S1-10","S1","人生/关系阶段","退休/老年/长期照护","退休;养老;老年伴侣","健康、照护、亲密与生活重心变化"
"SC-S2-01","S2","共同生活领域","日常作息与生活管理","睡眠;饮食;卫生;整洁;手机;休息","高频、小事、容易形成累积模式"
"SC-S2-02","S2","共同生活领域","工作/事业/学习","加班;出差;晋升;学习;创业","时间、地点、成长与家庭资源冲突"
"SC-S2-03","S2","共同生活领域","钱/财务","收入;消费;储蓄;投资;负债;共同账户","安全、自由、公平与透明"
"SC-S2-04","S2","共同生活领域","房/居住/地点","买房;租房;装修;搬家;通勤;异地","成本、城市、父母距离和生活方式"
"SC-S2-05","S2","共同生活领域","家务/家庭劳动","做饭;洗衣;采购;收拾;Mental Load","任务量、公平感、计划责任"
"SC-S2-06","S2","共同生活领域","孩子/生育/教育","要不要;怀孕;育儿;接送;教育","身体、时间、钱、职业和公平"
"SC-S2-07","S2","共同生活领域","双方父母/原生家庭","节假日;孝亲;照护;同住;父母干预","亲属支持与夫妻边界并存"
