"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","mapping_confidence","mapping_note"
"SC-R001","SC01","life_stage","认识/相亲","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R002","SC01","life_stage","恋爱","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R003","SC01","life_stage","稳定交往","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R004","SC01","life_stage","同居","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R005","SC01","life_stage","结婚/长期伴侣","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R006","SC01","life_stage","备孕/怀孕","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R007","SC01","life_stage","生育","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R008","SC01","life_stage","育儿","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R009","SC01","life_stage","孩子成长/教育","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R010","SC01","life_stage","事业变化期","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R011","SC01","life_stage","父母变老","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R012","SC01","life_stage","中年","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R013","SC01","life_stage","退休","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R014","SC01","life_stage","老年","Scene Space","S1｜Life / Relationship Stage","stage_or_trajectory","high",""
"SC-R015","SC01","shared_life_domain","日常作息","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R016","SC01","shared_life_domain","工作","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R017","SC01","shared_life_domain","钱","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R018","SC01","shared_life_domain","家务","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R019","SC01","shared_life_domain","孩子","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R020","SC01","shared_life_domain","双方父母","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R021","SC01","shared_life_domain","社交","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R022","SC01","shared_life_domain","兴趣","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R023","SC01","shared_life_domain","个人空间","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R024","SC01","shared_life_domain","性","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R025","SC01","shared_life_domain","健康","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R026","SC01","shared_life_domain","地点和居住","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R027","SC01","shared_life_domain","价值和意义","Scene Space","S2｜Shared-life Domain","domain","high",""
"SC-R028","SC01","stress_event","失业","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R029","SC01","stress_event","创业","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R030","SC01","stress_event","生病","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R031","SC01","stress_event","父母住院","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R032","SC01","stress_event","异地","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R033","SC01","stress_event","搬家","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R034","SC01","stress_event","孩子生病","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R035","SC01","stress_event","长期加班","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R036","SC01","stress_event","经济压力","Scene Space","S3｜Trigger / Transition / Stressor","event_or_stressor","high",""
"SC-R037","SC01","interaction_dynamic","重复发生","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R038","SC01","interaction_dynamic","严重程度","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R039","SC01","interaction_dynamic","发生频率","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R040","SC01","interaction_dynamic","持续时间","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R041","SC01","interaction_dynamic","当前压力","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R042","SC01","interaction_dynamic","对方回应和调整","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R043","SC01","interaction_dynamic","能否修复","Scene Space","S7｜Pattern / Time Dynamics","frequency_duration_recovery","high",""
"SC-R044","SC02","person_resource","时间","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R045","SC02","person_resource","精力","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R046","SC02","person_resource","注意力","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R047","SC02","person_resource","钱","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R048","SC02","person_resource","情绪容量","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R049","SC02","person_resource","身体状态","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R050","SC02","person_resource","社会资源","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
"SC-R051","SC02","resource_destination","工作","Scene Space","S4｜Task / Resource Reallocation","task_resource_change","medium",""
