"raw_id","source_id","raw_layer","raw_term","notes"
"NF-R001","NF01","preference_shape","门槛",""
"NF-R002","NF01","preference_shape","越高越好但边际递减",""
"NF-R003","NF01","preference_shape","最舒服区间",""
"NF-R004","NF01","preference_shape","两人匹配",""
"NF-R005","NF01","preference_shape","条件性交换",""
"NF-R006","NF01","preference_shape","可承受代价",""
"NF-R007","NF01","preference_shape","安全边界",""
"NF-R008","NF01","need_content","看着顺眼/生理吸引",""
"NF-R009","NF01","need_content","经济稳定",""
"NF-R010","NF01","need_content","事业心/成长性",""
"NF-R011","NF01","need_content","陪伴和共同时间",""
"NF-R012","NF01","need_content","被理解/情绪回应",""
"NF-R013","NF01","need_content","自由和个人空间",""
"NF-R014","NF01","need_content","家庭投入",""
"NF-R015","NF01","need_content","社交活力/有趣",""
"NF-R016","NF01","relationship_process","回应",""
"NF-R017","NF01","relationship_process","可靠",""
"NF-R018","NF01","relationship_process","公平",""
"NF-R019","NF01","relationship_process","边界",""
"NF-R020","NF01","relationship_process","冲突",""
"NF-R021","NF01","relationship_process","修复",""
"NF-R022","NF01","fit_example","相似可以舒服",""
"NF-R023","NF01","fit_example","互补也可以舒服",""
"NF-R024","NF01","fit_example","差异本身不自动扣分",""
"NF-R025","NF01","fit_example","关键是具体组合",""
"NF-R026","NF01","fit_example","关键时刻可靠可以补偿日常陪伴少",""
"NF-R027","NF02","need_content","被理解",""
"NF-R028","NF02","need_content","陪伴",""
"NF-R029","NF02","need_content","自主和空间",""
"NF-R030","NF02","need_content","安全感",""
"NF-R031","NF02","need_content","生理吸引",""
"NF-R032","NF02","need_content","性",""
"NF-R033","NF02","need_content","新鲜感",""
"NF-R034","NF02","need_content","被认可",""
"NF-R035","NF02","need_content","稳定",""
"NF-R036","NF02","need_content","成长",""
"NF-R037","NF02","need_content","归属",""
"NF-R038","NF02","need_content","共同活动",""
"NF-R039","NF02","attraction_layer","大众外在吸引",""
"NF-R040","NF02","attraction_layer","我个人是否顺眼",""
"NF-R041","NF02","attraction_layer","生理性吸引",""
"NF-R042","NF02","attraction_layer","关系性吸引",""
"NF-R043","NF02","preference_shape","门槛",""
"NF-R044","NF02","preference_shape","边际价值递减",""
"NF-R045","NF02","preference_shape","舒服区间",""
"NF-R046","NF02","preference_shape","组合意义",""
"NF-R047","NF02","preference_shape","条件接受",""
"NF-R048","NF02","preference_shape","愿意交换",""
"NF-R049","NF02","preference_shape","安全不可交换",""
"NF-R050","NF02","relationship_process","信任",""
"NF-R051","NF02","relationship_process","回应",""
"NF-R052","NF02","relationship_process","公平",""
"NF-R053","NF02","relationship_process","边界",""
"NF-R054","NF02","relationship_process","共同目标",""
"NF-R055","NF02","relationship_process","冲突",""
"NF-R056","NF02","relationship_process","修复",""
"NF-R057","NF02","relationship_process","性沟通",""
"NF-R058","NF02","relationship_process","共同活动",""
"NF-R059","NF02","relationship_process","各自空间",""
"NF-R060","NF02","relationship_state","吸引/欲望",""
"NF-R061","NF02","relationship_state","亲密/连接",""
"NF-R062","NF02","relationship_state","信任/安全",""
"NF-R063","NF02","relationship_state","被理解/被回应",""
"NF-R064","NF02","relationship_state","满意",""
"NF-R065","NF02","relationship_state","怨恨/消耗",""
"NF-R066","NF02","relationship_state","自主/空间",""
"NF-R067","NF02","relationship_state","性满意",""
"NF-R068","NF02","relationship_state","承诺",""
"NF-R069","NF02","tradeoff","为了事业心接受陪伴少","Examples of conditional trade-off, not universal pairings"
"NF-R070","NF02","tradeoff","为了自由接受共同时间少","Examples of conditional trade-off, not universal pairings"
"NF-R071","NF02","tradeoff","为了安全接受刺激少","Examples of conditional trade-off, not universal pairings"
"NF-R072","NF02","tradeoff","为了家庭投入接受个人空间少","Examples of conditional trade-off, not universal pairings"
"NF-R073","NF02","safety_boundary","身体暴力",""
"NF-R074","NF02","safety_boundary","性胁迫",""
"NF-R075","NF02","safety_boundary","强制控制",""
"NF-R076","NF02","safety_boundary","严重心理虐待",""
"NF-R077","NF02","safety_boundary","跟踪",""
"NF-R078","NF02","safety_boundary","威胁",""
"NF-R079","NF02","safety_boundary","严重经济控制",""
"NF-R080","NF03","player_need","看着顺眼/生理吸引",""
"NF-R081","NF03","player_need","经济稳定",""
"NF-R082","NF03","player_need","事业心/成长性",""
"NF-R083","NF03","player_need","陪伴和共同时间",""
"NF-R084","NF03","player_need","被理解/情绪回应",""
"NF-R085","NF03","player_need","自由和个人空间",""
"NF-R086","NF03","player_need","家庭投入",""
"NF-R087","NF03","player_need","社交活力/有趣",""
"NF-R088","NF03","open_question","最怕选错什么",""
"NF-R089","NF03","open_question","最希望伴侣给什么感觉",""
"NF-R090","NF03","tolerance_language","舒服/喜欢",""
"NF-R091","NF03","tolerance_language","有点不爽但长期能接受",""
"NF-R092","NF03","tolerance_language","很消耗希望必须改变",""
"NF-R093","NF03","tolerance_language","不能长期这样过",""
