"source_id","source_type","source_name","year","population_scope","source_location","notes"
"S01","internal_model","Relationship current-model v0.5","2026","China / product model","Darcy-Jin/Relationship/docs/current-model.md","Candidate facts, resource allocation, relationship process, event domains; formal internal baseline."
"S02","internal_model","Relationship person-model v0.1","2026","China / product model","Darcy-Jin/Relationship/docs/models/person-model.md","Six person-material groups plus conditional-pattern and change model."
"S03","internal_research","Relationship Research 10: mate-selection decision factors","2026","China / target product","Darcy-Jin/Relationship/docs/research/10-mate-selection-decision-factor-and-interaction-design.md","Internal synthesis of facts, resource allocation, relationship process and interaction needs."
"S04","platform_schema","世纪佳缘会员搜索","2026","China dating-platform users","https://search.jiayuan.com/v2/","Current search filters and popular search terms."
"S05","platform_schema","世纪佳缘隐私保护政策","2026","China dating-platform users","https://www.jiayuan.com/bottom/private.html","Current profile fields, detailed fields, self-description, hobbies, mate conditions."
"S06","platform_labels","世纪佳缘注册页标签","2026","China dating-platform users","https://reg.jiayuan.com/","Current self-description tags offered during registration."
"S07","platform_schema","珍爱个人信息保护政策","2026","China dating-platform users","https://i.zhenai.com/m/client/intro/policy.html","Current profile and mate-standard fields."
"S08","academic_china","What Makes a Desirable Spouse in China?","2025","Unmarried Chinese adults / CGSS 2021","https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.70013","Survey experiment on six spouse attributes: income, property, education, rural/urban origin, age, appearance."
"S09","survey_china","中国青年发展状况综合调查：00后婚恋观","2026","China, age 14-35, n=9323","https://dszk.youth.cn/szjl/qyj/202604/t20260428_16632145.htm","Reports high salience of moral character, values and personality among Gen Z."
"S10","survey_platform","世纪佳缘 2020-2021 婚恋观报告","2021","Chinese singles across age/social groups","https://health.cnr.cn/lx/20210111/t20210111_525388270.shtml","Reported commonly valued traits by gender after excluding hard indicators."
"S11","survey_china","90后青年婚恋新常态调研","2019","China 90s singles, n=4590","https://news.youth.cn/gn/201908/t20190807_12033578.htm","Marriage aspirations, economics, housing and lifestyle context."
"S12","academic_china","Mate selection among online daters in Shanghai","2020","Shanghai online daters","https://pmc.ncbi.nlm.nih.gov/articles/PMC7649930/","Qualitative evidence on education, financial proxies, family background and housing."
"S13","academic_general","Ideals in intimate relationships","1999","General romantic-partner ideals","https://pubmed.ncbi.nlm.nih.gov/9972554/","Three partner-ideal factors: warmth/trustworthiness, vitality/attractiveness, status/resources."
"S14","academic_general","Worldwide Test of Predictive Validity of Ideal Partner Preference-Matching","2024","43 countries, 22 languages, N=10358","https://pmc.ncbi.nlm.nih.gov/articles/PMC12622239/","35 partner attributes; large cross-cultural validation context."
"S15","academic_general","Compatibility as a distinct component of mate preferences","2026","Two adult samples","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1725609/full","Tests compatibility as an additional partner-preference component."
"S16","academic_china","Beauty-status exchange in mate selection in China","2024","China CFPS 2010-2018","https://doi.org/10.1016/j.rssm.2023.100872","Evidence on appearance-status exchange patterns in Chinese marriage sorting."
