"raw_id","source_id","raw_layer","raw_term","notes"
"R001","S01","candidate_fact","年龄","Relationship current formal candidate facts"
"R002","S01","candidate_fact","城市","Relationship current formal candidate facts"
"R003","S01","candidate_fact","学历","Relationship current formal candidate facts"
"R004","S01","candidate_fact","工作/职业","Relationship current formal candidate facts"
"R005","S01","candidate_fact","收入","Relationship current formal candidate facts"
"R006","S01","candidate_fact","住房","Relationship current formal candidate facts"
"R007","S01","candidate_fact","家庭背景","Relationship current formal candidate facts"
"R008","S01","candidate_fact","婚恋意图","Relationship current formal candidate facts"
"R009","S01","candidate_fact","孩子态度","Relationship current formal candidate facts"
"R010","S01","candidate_fact","吸烟","Relationship current formal candidate facts"
"R011","S01","candidate_fact","饮酒","Relationship current formal candidate facts"
"R012","S01","candidate_fact","迁移可能性","Relationship current formal candidate facts"
"R013","S01","relationship_trait","经济稳定性","Relationship current formal backend dimensions"
"R014","S01","relationship_trait","事业投入","Relationship current formal backend dimensions"
"R015","S01","relationship_trait","日常可用时间","Relationship current formal backend dimensions"
"R016","S01","relationship_trait","回应性","Relationship current formal backend dimensions"
"R017","S01","relationship_trait","危机可靠性","Relationship current formal backend dimensions"
"R018","S01","relationship_trait","自主空间需要","Relationship current formal backend dimensions"
"R019","S01","relationship_trait","家庭投入","Relationship current formal backend dimensions"
"R020","S01","relationship_trait","社交能量","Relationship current formal backend dimensions"
"R021","S01","relationship_trait","可预测性","Relationship current formal backend dimensions"
"R022","S01","relationship_trait","公平","Relationship current formal backend dimensions"
"R023","S01","relationship_trait","边界尊重","Relationship current formal backend dimensions"
"R024","S02","person_material","外向/内向","Person model raw person-material examples"
"R025","S02","person_material","谨慎/冒险","Person model raw person-material examples"
"R026","S02","person_material","情绪反应","Person model raw person-material examples"
"R027","S02","person_material","责任倾向","Person model raw person-material examples"
"R028","S02","person_material","自我控制","Person model raw person-material examples"
"R029","S02","person_material","依恋和防御方式","Person model raw person-material examples"
"R030","S02","person_material","事业与家庭排序","Person model raw person-material examples"
"R031","S02","person_material","是否要孩子","Person model raw person-material examples"
"R032","S02","person_material","钱","Person model raw person-material examples"
"R033","S02","person_material","自由","Person model raw person-material examples"
"R034","S02","person_material","安全","Person model raw person-material examples"
"R035","S02","person_material","忠诚","Person model raw person-material examples"
"R036","S02","person_material","陪伴需要","Person model raw person-material examples"
"R037","S02","person_material","空间需要","Person model raw person-material examples"
"R038","S02","person_material","认可需要","Person model raw person-material examples"
"R039","S02","person_material","成长需要","Person model raw person-material examples"
"R040","S02","person_material","逻辑能力","Person model raw person-material examples"
"R041","S02","person_material","结构化能力","Person model raw person-material examples"
"R042","S02","person_material","决策能力","Person model raw person-material examples"
"R043","S02","person_material","作息","Person model raw person-material examples"
"R044","S02","person_material","消费","Person model raw person-material examples"
"R045","S02","person_material","运动","Person model raw person-material examples"
"R046","S02","person_material","社交","Person model raw person-material examples"
"R047","S02","person_material","饮食","Person model raw person-material examples"
"R048","S02","person_material","整洁","Person model raw person-material examples"
"R049","S02","person_material","冲突处理习惯","Person model raw person-material examples"
"R050","S02","person_material","原生家庭","Person model raw person-material examples"
"R051","S02","person_material","过去关系","Person model raw person-material examples"
"R052","S02","person_material","工作经历","Person model raw person-material examples"
"R053","S02","person_material","成功经历","Person model raw person-material examples"
"R054","S02","person_material","失败经历","Person model raw person-material examples"
"R055","S02","person_material","长期照护经历","Person model raw person-material examples"
"R056","S02","person_material","创业经历","Person model raw person-material examples"
"R057","S02","person_material","疾病经历","Person model raw person-material examples"
"R058","S02","person_material","失业","Person model raw person-material examples"
"R059","S02","person_material","父母生病","Person model raw person-material examples"
"R060","S02","person_material","带孩子","Person model raw person-material examples"
"R061","S02","person_material","债务","Person model raw person-material examples"
"R062","S02","person_material","身体状态","Person model raw person-material examples"
"R063","S02","person_material","当前压力","Person model raw person-material examples"
"R064","S03","information_model","现实事实","Internal research upper-level views"
"R065","S03","information_model","资源分配","Internal research upper-level views"
"R066","S03","information_model","关系过程","Internal research upper-level views"
"R067","S03","information_model","生活事件领域","Internal research upper-level views"
"R068","S03","resource_allocation","时间","Internal research"
"R069","S03","resource_allocation","钱","Internal research"
"R070","S03","resource_allocation","精力","Internal research"
"R071","S03","resource_allocation","注意力","Internal research"
"R072","S03","resource_allocation","空间","Internal research"
"R073","S03","resource_allocation","计划性","Internal research"
"R074","S03","relationship_process","回应","Internal research"
"R075","S03","relationship_process","可靠","Internal research"
"R076","S03","relationship_process","公平","Internal research"
"R077","S03","relationship_process","边界","Internal research"
"R078","S03","relationship_process","冲突","Internal research"
"R079","S03","relationship_process","修复","Internal research"
"R080","S03","event_domain","钱","Internal research"
"R081","S03","event_domain","房","Internal research"
"R082","S03","event_domain","工作","Internal research"
"R083","S03","event_domain","家务","Internal research"
"R084","S03","event_domain","孩子","Internal research"
"R085","S03","event_domain","父母","Internal research"
"R086","S03","event_domain","社交","Internal research"
"R087","S03","event_domain","健康","Internal research"
"R088","S03","event_domain","亲密","Internal research"
"R089","S03","event_domain","迁移","Internal research"
"R090","S03","event_domain","休闲","Internal research"
"R091","S04","search_filter","地区","Current Jiayuan member search filters"
"R092","S04","search_filter","年龄","Current Jiayuan member search filters"
"R093","S04","search_filter","身高","Current Jiayuan member search filters"
"R094","S04","search_filter","婚史","Current Jiayuan member search filters"
"R095","S04","search_filter","学历","Current Jiayuan member search filters"
"R096","S04","search_filter","月薪","Current Jiayuan member search filters"
"R097","S04","search_filter","住房","Current Jiayuan member search filters"
"R098","S04","search_filter","购车","Current Jiayuan member search filters"
"R099","S04","popular_search_term","真诚","Current Jiayuan popular search terms surfaced by search page"
"R100","S04","popular_search_term","惹人注目","Current Jiayuan popular search terms surfaced by search page"
"R101","S04","popular_search_term","长发","Current Jiayuan popular search terms surfaced by search page"
"R102","S04","popular_search_term","清纯可爱","Current Jiayuan popular search terms surfaced by search page"
"R103","S04","popular_search_term","笑得很甜","Current Jiayuan popular search terms surfaced by search page"
"R104","S04","popular_search_term","文静","Current Jiayuan popular search terms surfaced by search page"
"R105","S04","popular_search_term","羞涩","Current Jiayuan popular search terms surfaced by search page"
"R106","S04","popular_search_term","超凡脱俗","Current Jiayuan popular search terms surfaced by search page"
"R107","S04","popular_search_term","爱运动","Current Jiayuan popular search terms surfaced by search page"
"R108","S04","popular_search_term","野蛮女友","Current Jiayuan popular search terms surfaced by search page"
"R109","S04","popular_search_term","妩媚","Current Jiayuan popular search terms surfaced by search page"
"R110","S04","popular_search_term","端庄大方","Current Jiayuan popular search terms surfaced by search page"
"R111","S04","popular_search_term","秀外慧中","Current Jiayuan popular search terms surfaced by search page"
"R112","S04","popular_search_term","小资","Current Jiayuan popular search terms surfaced by search page"
"R113","S04","popular_search_term","宅女","Current Jiayuan popular search terms surfaced by search page"
"R114","S04","popular_search_term","高挑","Current Jiayuan popular search terms surfaced by search page"
"R115","S04","popular_search_term","有气质","Current Jiayuan popular search terms surfaced by search page"
