"source_id","source_type","source_name","year","population_scope","source_location","notes"
"NF01","internal_model","Relationship current-model v0.5","2026","Relationship formal model","Darcy-Jin/Relationship/docs/current-model.md","Preference shapes, needs, relationship processes, safety boundaries."
"NF02","internal_model","Comprehensive relationship model v0.1","2026","Relationship domain model","Darcy-Jin/Relationship/docs/research/04-comprehensive-relationship-model.md","Needs list, compatibility, trade-offs, relationship states."
"NF03","internal_product","First Playable v0.1","2026","Relationship historical playable model","Darcy-Jin/Relationship/docs/first-playable-v0.md","Player needs, contrast hypotheses and tolerance language."
"NF04","internal_spec","Relationship event spec v0","2026","Relationship deterministic engine","Darcy-Jin/Relationship/spec/v0/events.json","Operational need probes used in current deterministic engine."
"NF05","academic_review","Responsiveness in romantic partners' interactions","2023","Romantic partners","https://pubmed.ncbi.nlm.nih.gov/37515977/","Perceived responsiveness: understood, validated, cared for."
"NF06","theory_reference","Self-Determination Theory: Relationships","current","Close relationships","https://selfdeterminationtheory.org/topics/application-relationships/","Autonomy, relatedness, competence need support and mutuality."
"NF07","academic_longitudinal","Similarity of life goals, values and personality","2013","German Family Panel, 3,674 couples","https://onlinelibrary.wiley.com/doi/10.1111/j.1475-6811.2012.01417.x","Similarity effects are small and dimension-specific; individual characteristics often stronger."
"NF08","academic_meta","Insecure attachment and relationship satisfaction meta-analysis","2019","132 studies","https://www.sciencedirect.com/science/article/pii/S0191886919302673","Attachment anxiety/avoidance and actor/partner relationship satisfaction."
"NF09","academic_meta","Partner support and goal outcomes meta-analysis","2022","36 samples / 10,130 participants","https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2846","Responsive, practical and negative partner support in goal pursuit."
"NF10","academic_meta","Sexual communication and satisfaction meta-analysis","2022","93 studies / 38,499 participants","https://pubmed.ncbi.nlm.nih.gov/34968095/","Quality/frequency/self-disclosure in sexual communication."
"NF11","academic_study","Sexual autonomy support in romantic relationships","2024","Three studies, N=786","https://pmc.ncbi.nlm.nih.gov/articles/PMC12754025/","Sexual autonomy support, need fulfillment and relationship/sexual satisfaction."
"NF12","academic_meta","Dyadic coping and relationship satisfaction in chronic illness","2025","57 reports / 61 samples","https://pubmed.ncbi.nlm.nih.gov/40334371/","Mutual coping/support as dyadic process."
"NF13","academic_study","Perceived fairness and relationship satisfaction in parenthood","2016","New parents, N=92","https://journals.sagepub.com/doi/10.1177/0192513X13516764","Fairness, emotional spousal support and negative interaction."
"NF14","academic_study","Pooling finances and relationship satisfaction","2022","Six studies, N=38,534","https://pubmed.ncbi.nlm.nih.gov/35286120/","Financial pooling, distress and relationship satisfaction."
"NF15","academic_china","Intergenerational relationships and marriage in China","2023","268 Chinese couples","https://onlinelibrary.wiley.com/doi/10.1111/pere.12476","Parents/in-laws, filial obligations and marital quality."
"NF16","survey_china","中国青年发展状况综合调查：00后婚恋观","2026","China youth, n=9323","https://dszk.youth.cn/szjl/qyj/202604/t20260428_16632145.htm","Moral character, values and personality as stated considerations."
"NF17","survey_china","虹口婚恋白皮书","2025","Shanghai Hongkou youth","https://www.shhk.gov.cn/slh/038001/20250414/10b897e3-2aca-4421-ba15-377f94e5a510.html","Values fit prominent; hard conditions remain relevant."
"NF18","survey_social_media","网络社会与青年婚恋观调查报告","2026","Chinese youth / network society","https://news.sina.com.cn/o/2026-05-22/doc-inhytyys6202454.shtml","Emotional value, material security, trust, boundaries, emotional dependence."
"NF19","academic_reference","Ideal Standards Model","1999","Romantic partner ideals","https://pubmed.ncbi.nlm.nih.gov/9972554/","Warmth/trustworthiness, vitality/attractiveness, status/resources."
"NF20","academic_reference","Compatibility as distinct partner preference component","2026","Adult partner-preference samples","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1725609/full","Tests compatibility alongside physicality, compassion and competence."
