"priority_id","source_candidate_id","entry_language","person_concept_id","person_feature","domain_id","domain","stage_id","stage","trigger_id","trigger","primary_need_id","primary_need","reframe_need_id","topic_question","topic_role","semantic_fit","reality_fit","need_relevance","observable","reframe_strength","no_false_causality","status"
"P01","CC2-00098","大厂 / 高强度职业","PF-A05","职业与组织类型","SC-S2-02","工作/事业/学习","SC-S1-02","恋爱/磨合","SC-S3-01","工作时间突变","NF-N1-02","陪伴/连接/归属","NF-N1-04","高薪和平台很好，但恋爱里的共同时间会变成什么？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P02","CC2-00690","事业心强","PF-D01","事业优先级","SC-S2-06","孩子/生育/教育","SC-S1-07","婴幼儿照护","SC-S3-01","工作时间突变","NF-N1-07","公平/可靠/合作","NF-N1-08","平时忙可以，孩子真正需要人时谁来扛？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P03","CC2-00985","求稳 / 工作稳定","PF-D05","安全/稳定价值","SC-S2-02","工作/事业/学习","SC-S1-05","结婚/建立家庭","SC-S3-02","事业机会/职业转折","NF-N1-05","安全/信任/可预测","NF-N1-08","稳定很好，但面对一次真正的事业机会时，你们想不想要同一种人生？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P04","CC2-01222","会赚钱","PF-E01","工作与赚钱能力","SC-S2-03","钱/财务","SC-S1-05","结婚/建立家庭","SC-S3-04","大额财务事件","NF-N1-06","经济/物质安全","NF-N1-07","会赚钱很重要，但大额共同支出时，他怎样和你一起做决定？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P05","CC2-00235","有房 / 有资产","PF-A07","住房与资产","SC-S2-04","房/居住/地点","SC-S1-05","结婚/建立家庭","SC-S3-04","大额财务事件","NF-N1-06","经济/物质安全","NF-N1-12","你想要的是有房的人，还是一种稳定但可承受的住房生活？","Selection-proxy","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P06","CC2-00314","家庭条件好 / 父母能帮","PF-A08","家庭经济与支持资源","SC-S2-07","双方父母/原生家庭","SC-S1-07","婴幼儿照护","SC-S3-07","父母责任变化","NF-N1-11","家庭投入/家庭边界","NF-N1-04","父母能帮带娃是资源，什么时候也会变成边界问题？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P07","CC2-00382","本地人 / 城市稳定","PF-B01","城市/地域与迁移约束","SC-S2-04","房/居住/地点","SC-S1-05","结婚/建立家庭","SC-S3-05","居住/迁移变化","NF-N1-12","价值/人生方向/未来一致性","NF-N1-05","本地生活很稳定，但如果事业要换城市，谁跟谁走？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P08","CC2-00475","父母同城 / 能帮带娃","PF-B03","父母距离与亲属支持","SC-S2-06","孩子/生育/教育","SC-S1-07","婴幼儿照护","SC-S3-06","生育/育儿转折","NF-N1-11","家庭投入/家庭边界","NF-N1-04","有人帮带孩子很轻松，但你愿意让父母进入多少日常决定？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P09","CC2-00721","顾家","PF-D02","家庭优先级","SC-S2-07","双方父母/原生家庭","SC-S1-05","结婚/建立家庭","SC-S3-07","父母责任变化","NF-N1-11","家庭投入/家庭边界","NF-N1-04","很顾家的男人，顾的是你们的小家，还是整个大家庭？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
"P10","CC2-01141","孝顺","PF-D08","父母/孝亲义务","SC-S2-07","双方父母/原生家庭","SC-S1-09","中年多重责任","SC-S3-07","父母责任变化","NF-N1-11","家庭投入/家庭边界","NF-N1-07","他对父母很负责；到了上有老下有小时，这份责任怎么和小家一起过？","Life-generative","PASS","PASS","PASS","PASS","PASS","PASS","priority_candidate_v0.1"
