"source_id","source_type","source_name","year","population_scope","source_location","notes"
"SC01","internal_model","Relationship current-model v0.5","2026","Relationship formal model","Darcy-Jin/Relationship/docs/current-model.md","Life stages, event domains, stressors, repeated problems."
"SC02","internal_model","Comprehensive relationship model v0.1","2026","Relationship formal domain model","Darcy-Jin/Relationship/docs/research/04-comprehensive-relationship-model.md","Shared-life domains, resource allocation, time/stress, feedback loops."
"SC03","internal_product","First Playable v0.1","2026","Relationship historical playable model","Darcy-Jin/Relationship/docs/first-playable-v0.md","Weekend, cohabitation, career opportunity, crisis scenes."
"SC04","internal_product","First 10 Minutes + First Life v0","2026","Relationship player experience","Darcy-Jin/Relationship/docs/product/first-10-minutes-first-life-v0.md","Life-run pacing, daily events, cohabitation, career, crisis, long-term decision."
"SC05","internal_spec","Relationship event spec v0","2026","Relationship deterministic engine","Darcy-Jin/Relationship/spec/v0/events.json","Weekend, cohabitation, workweek, social, budget, family duty, plan change and expression events."
"SC06","academic_meta","Transition to Parenthood Meta-analysis","2009","Couples transitioning to parenthood","https://pmc.ncbi.nlm.nih.gov/articles/PMC2812012/","Relationship satisfaction changes around transition to parenthood; high variation."
"SC07","academic_meta","Work-family conflict and couple relationship quality meta-analysis","2016","33 papers / 49 samples","https://scholarsarchive.byu.edu/facpub/2257/","Work-family conflict negatively associated with couple relationship quality."
"SC08","academic_review","Financial Factors and Couple Relationship Satisfaction","2026","Systematic review, 29 articles","https://www.tandfonline.com/doi/abs/10.1080/01926187.2025.2610780","Financial conflict, deception and materialism as relationship-relevant financial factors."
"SC09","academic_meta","Sexual communication and relationship satisfaction meta-analysis","2022","93 studies / 38,499 people","https://pmc.ncbi.nlm.nih.gov/articles/PMC9153093/","Sexual communication quality associated with relationship and sexual satisfaction."
"SC10","academic_meta","Dyadic coping and chronic illness meta-analysis","2025","57 reports / 61 samples","https://pubmed.ncbi.nlm.nih.gov/40334371/","Chronic illness as dyadic process; coping linked with relationship satisfaction."
"SC11","academic_review","Couple relationships and sleep meta-analysis","2025","62 studies / 43,860 people","https://pubmed.ncbi.nlm.nih.gov/39514915/","Sleep and relationship quality linked; responsiveness/conflict relevant."
"SC12","academic_study","Perceived fairness across transition to parenthood","2016","New parents, N=92","https://journals.sagepub.com/doi/10.1177/0192513X13516764","Household/childcare fairness, support and negative interaction during parenthood transition."
"SC13","academic_longitudinal","Unemployment impact on couples","2020","German SOEP couples","https://www.sciencedirect.com/science/article/pii/S1040260820300332","One partner unemployment affects both partners and multiple life domains."
"SC14","academic_review","Disability as interpersonal experience","2021","Systematic review, 36 studies","https://pmc.ncbi.nlm.nih.gov/articles/PMC7959177/","Changed roles, communication, sexual intimacy, social participation under disability."
"SC15","academic_china","Female labor force status and marital satisfaction in China","2021","CFPS 2014","https://pmc.ncbi.nlm.nih.gov/articles/PMC8343394/","Work hours, family roles, childcare and kin support in Chinese couples."
"SC16","academic_china","Intergenerational relationships and marriage in China","2023","268 Chinese couples, 3 waves","https://onlinelibrary.wiley.com/doi/10.1111/pere.12476","Marriage embedded in relationships with parents and parents-in-law."
"SC17","academic_china","Married couples' life satisfaction and divisions of income and housework in China","2025","CFPS 2010-2022, 12,980 couples","https://ideas.repec.org/a/kap/jfamec/v46y2025i3d10.1007_s10834-025-10052-w.html","Income and housework divisions jointly relate to couple well-being."
"SC18","academic_china","Parenting stress and marital satisfaction in Southwest China","2022","Parenting couples, N=2,979","https://pubmed.ncbi.nlm.nih.gov/34953927/","Parenting stress, depression, marital conflict and paternal empathy."
"SC19","academic_china","Intergenerational proximity of married couples in China","2019","China married couples","https://onlinelibrary.wiley.com/doi/10.1111/jomf.12538","Proximity to husband's/wife's parents and structural conditions."
"SC20","academic_study","Pooling finances and relationship satisfaction","2022","Six studies, N=38,534","https://pubmed.ncbi.nlm.nih.gov/35286120/","Financial arrangement as a couple-level relationship context."
