"concept_id","view","canonical_concept","matched_raw_items","unique_sources","source_type_count","source_ids","source_types","coverage_tier_v0"
"PF-A01","A","外在吸引","2","2","2","S04;S18","platform_schema;survey_social_media","medium"
"PF-A02","A","身高/体型","2","2","2","S04;S06","platform_schema;platform_labels","medium"
"PF-A03","A","年龄","5","5","3","S01;S04;S05;S07;S08","internal_model;platform_schema;academic_china","high"
"PF-A04","A","教育与文化资本","1","1","1","S05","platform_schema","low"
"PF-A05","A","职业与组织类型","1","1","1","S06","platform_labels","low"
"PF-A06","A","当前收入与经济稳定","0","0","0","","","low"
"PF-A07","A","住房与资产","0","0","0","","","low"
"PF-A08","A","家庭经济与支持资源","0","0","0","","","low"
"PF-A09","A","婚史与孩子状态","1","1","1","S05","platform_schema","low"
"PF-A10","A","健康与基础生活事实","1","1","1","S20","community_content","low"
"PF-B01","B","城市/地域与迁移约束","5","3","2","S05;S07;S08","platform_schema;academic_china","medium"
"PF-B02","B","原生家庭结构","1","1","1","S02","internal_model","low"
"PF-B03","B","父母距离与亲属支持","0","0","0","","","low"
"PF-B04","B","重要经历","3","1","1","S02","internal_model","low"
"PF-B05","B","当前现实负担","3","1","1","S02","internal_model","low"
"PF-B06","B","职业环境约束","0","0","0","","","low"
"PF-D01","D","事业优先级","1","1","1","S10","survey_platform","low"
"PF-D02","D","家庭优先级","0","0","0","","","low"
"PF-D03","D","成长导向","0","0","0","","","low"
"PF-D04","D","自由/自主价值","0","0","0","","","low"
"PF-D05","D","安全/稳定价值","0","0","0","","","low"
"PF-D06","D","婚育方向","1","1","1","S05","platform_schema","low"
"PF-D07","D","忠诚/边界价值","1","1","1","S19","community_signal","low"
"PF-D08","D","父母/孝亲义务","2","2","2","S04;S10","platform_schema;survey_platform","medium"
"PF-E01","E","工作与赚钱能力","0","0","0","","","low"
"PF-E02","E","思考/决策能力","1","1","1","S02","internal_model","low"
"PF-E03","E","情绪调节能力","2","2","2","S19;S20","community_signal;community_content","medium"
"PF-E04","E","沟通/共情能力","0","0","0","","","low"
"PF-E05","E","生活管理能力","0","0","0","","","low"
"PF-E06","E","学习/修正能力","1","1","1","S19","community_signal","low"
"PF-F01","F","工作投入强度","2","2","2","S01;S06","internal_model;platform_labels","medium"
"PF-F02","F","日常可用时间","1","1","1","S01","internal_model","low"
"PF-F03","F","消费/储蓄方式","0","0","0","","","low"
"PF-F04","F","社交密度","1","1","1","S11","survey_china","low"
"PF-F05","F","运动/健康投入","1","1","1","S04","platform_schema","low"
"PF-F06","F","作息/日常节奏","0","0","0","","","low"
"PF-F07","F","兴趣/体验投入","0","0","0","","","low"
"PF-F08","F","计划性/可预测性","2","2","2","S01;S03","internal_model;internal_research","medium"
"PF-F09","F","家庭资源投入","0","0","0","","","low"
"PF-G01","G","回应性","3","2","2","S01;S10","internal_model;survey_platform","medium"
"PF-G02","G","承诺执行/可靠","1","1","1","S20","community_content","low"
"PF-G03","G","公平/合作","0","0","0","","","low"
"PF-G04","G","边界尊重","2","2","2","S01;S19","internal_model;community_signal","medium"
"PF-G05","G","冲突表达","0","0","0","","","low"
"PF-G06","G","修复能力","0","0","0","","","low"
"PF-G07","G","支持/照护","1","1","1","S20","community_content","low"
"PF-G08","G","忠诚执行","0","0","0","","","low"
