"concept_id","view","group","canonical_concept","examples","content_use"
"NF-N1-01","N1","Need Content","吸引 / 欲望","顺眼;生理吸引;关系性吸引","不是社会颜值总分"
"NF-N1-02","N1","Need Content","陪伴 / 连接 / 归属","共同时间;一起做事;被陪伴;归属","区分日常陪伴与关键时刻"
"NF-N1-03","N1","Need Content","被理解 / 被回应 / 被关心","懂我;情绪价值;被接住","落到理解、验证、关心和实际回应"
"NF-N1-04","N1","Need Content","自主 / 空间 / 自由","个人空间;自己的生活;不被管","自主不等于疏离"
"NF-N1-05","N1","Need Content","安全 / 信任 / 可预测","稳定;安心;不猜;有计划","包括关系安全和生活可预测"
"NF-N1-06","N1","Need Content","经济 / 物质安全","收入底线;储蓄;住房;风险承受","不等于无限追求高收入"
"NF-N1-07","N1","Need Content","公平 / 可靠 / 合作","靠谱;分担;关键时刻在;公平","共同生活中的责任与合作"
"NF-N1-08","N1","Need Content","成长 / 能力 / 目标支持","上进;支持事业;共同成长","既可共同成长也可分别成长"
"NF-N1-09","N1","Need Content","活力 / 新鲜感 / 有趣 / 共同体验","有趣;旅行;社交;共同活动","不是越多越好，可能有舒服区间"
"NF-N1-10","N1","Need Content","性 / 身体亲密","性吸引;性需求;身体接触;性沟通","必须包含自主与同意"
"NF-N1-11","N1","Need Content","家庭投入 / 家庭边界","顾家;育儿;父母边界;小家庭","家庭投入和边界需要同时看"
"NF-N1-12","N1","Need Content","价值 / 人生方向 / 未来一致性","三观;要不要孩子;城市;成功定义","长期方向可能形成硬约束"
"NF-N2-01","N2","Need Shape","门槛 / Gate","低于就不考虑;硬条件","过线后边际影响可能下降"
"NF-N2-02","N2","Need Shape","越高越好但边际递减","收入;资源;某些能力","存在够用点"
"NF-N2-03","N2","Need Shape","最舒服区间","陪伴;社交;计划性;黏人","过低过高都不舒服"
"NF-N2-04","N2","Need Shape","两人组合 / Fit","相似;互补;差异","组合后才有意义"
"NF-N2-05","N2","Need Shape","条件性接受","忙但关键时刻可靠;社交多但边界清楚","必须带条件才能判断"
"NF-N2-06","N2","Need Shape","可承受代价 / Trade-off","为了事业心接受陪伴少","明确自己愿意换什么"
"NF-N3-01","N3","Fulfillment Mechanism","理解 / 验证 / 关心","听懂;承认;在意","responsiveness 的核心行为"
"NF-N3-02","N3","Fulfillment Mechanism","承诺执行 / 可靠","说到做到;关键时刻出现","把抽象责任心落到行动"
"NF-N3-03","N3","Fulfillment Mechanism","公平 / 共同承担","分家务;育儿;钱;照护","公平不等于机械五五开"
"NF-N3-04","N3","Fulfillment Mechanism","自主支持 / 尊重选择","允许选择;不控制;尊重空间","支持自主同时可以保持亲密"
"NF-N3-05","N3","Fulfillment Mechanism","情绪支持 / 实际支持","倾听;安慰;帮忙;提供资源","支持形式要匹配当下需要"
"NF-N3-06","N3","Fulfillment Mechanism","沟通 / 自我披露","表达需要;讲真实想法;透明","沟通质量比单纯频率重要"
"NF-N3-07","N3","Fulfillment Mechanism","冲突 / 修复","争执;道歉;协商;改法","冲突本身不等于关系失败"
"NF-N3-08","N3","Fulfillment Mechanism","共同应对压力","we-perspective;一起扛","重大压力下的 dyadic coping"
"NF-N3-09","N3","Fulfillment Mechanism","目标支持","鼓励;实际协助;不给拖后腿","伴侣支持个人目标和成长"
"NF-N3-10","N3","Fulfillment Mechanism","性沟通 / 性自主支持","表达性需求;尊重拒绝;协商","性亲密不能靠默认猜测"
"NF-N4-01","N4","Fit Mode","相似型 Fit","两人都爱社交;都重家庭","相似只是可能路径，不是自动加分"
"NF-N4-02","N4","Fit Mode","互补型 Fit","一方规划一方灵活;一方社交一方独处","只有互补后双方都舒服才成立"
"NF-N4-03","N4","Fit Mode","差异但互不干扰","兴趣不同但各自自由","差异本身没有成本"
"NF-N4-04","N4","Fit Mode","差异需要协调","作息不同;消费不同;父母边界不同","关键看协调成本与过程"
"NF-N4-05","N4","Fit Mode","条件性兼容","忙但可靠;社交多但边界清楚","特定机制使差异可接受"
"NF-N4-06","N4","Fit Mode","核心方向冲突","要孩子vs不要;长期城市冲突","可能难以靠日常技巧解决"
"NF-N5-01","N5","Trade-off / Tolerance","喜欢","这就是我想要的","正向体验"
"NF-N5-02","N5","Trade-off / Tolerance","能接受","不完美但长期可承受","不是需要被修复的问题"
"NF-N5-03","N5","Trade-off / Tolerance","必须调整","继续可以，但需要改变条件","形成协商/修复需求"
"NF-N5-04","N5","Trade-off / Tolerance","长期不能接受","不能一直这样过","成为稳定边界候选"
"NF-N5-05","N5","Trade-off / Tolerance","愿意交换","为了A接受B较低","显式机会成本"
"NF-N5-06","N5","Trade-off / Tolerance","改变条件后可接受","有固定共同时间就能接受忙","条件性 Reframe"
"NF-N6-01","N6","Safety Boundary","身体暴力","殴打;伤害","不可由其他优点抵消"
"NF-N6-02","N6","Safety Boundary","性胁迫","强迫性行为;无视同意","不可交换"
"NF-N6-03","N6","Safety Boundary","强制控制","限制行动;控制社交;控制通信","不可当普通黏人/边界差"
"NF-N6-04","N6","Safety Boundary","严重心理虐待","长期贬低;羞辱;恐吓","不可普通 trade-off"
"NF-N6-05","N6","Safety Boundary","跟踪 / 威胁","跟踪;威胁伤害","安全优先"
"NF-N6-06","N6","Safety Boundary","严重经济控制","剥夺经济自主;限制基本资源","不是普通节俭/财务规划"
"NF-N6-07","N6","Safety Boundary","其他明显危险","现实安全风险","进入安全处置而非内容交换"
