"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","canonical_concept_v0","mapping_confidence","mapping_note"
"R001","S01","candidate_fact","年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","年龄","high",""
"R002","S01","candidate_fact","城市","Person Feature Space","B｜Social Identity / Context","context_fact","城市","high",""
"R003","S01","candidate_fact","学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","学历","high",""
"R004","S01","candidate_fact","工作/职业","Person Feature Space","A｜Profile / Reality Facts","profile_fact","工作/职业","high",""
"R005","S01","candidate_fact","收入","Person Feature Space","A｜Profile / Reality Facts","profile_fact","收入","high",""
"R006","S01","candidate_fact","住房","Person Feature Space","A｜Profile / Reality Facts","profile_fact","住房","high",""
"R007","S01","candidate_fact","家庭背景","Person Feature Space","B｜Social Identity / Context","context_fact","家庭背景","high",""
"R008","S01","candidate_fact","婚恋意图","Person Feature Space","A｜Profile / Reality Facts","profile_fact","婚恋意图","high",""
"R009","S01","candidate_fact","孩子态度","Person Feature Space","A｜Profile / Reality Facts","profile_fact","孩子态度","high",""
"R010","S01","candidate_fact","吸烟","Person Feature Space","A｜Profile / Reality Facts","profile_fact","吸烟","high",""
"R011","S01","candidate_fact","饮酒","Person Feature Space","A｜Profile / Reality Facts","profile_fact","饮酒","high",""
"R012","S01","candidate_fact","迁移可能性","Person Feature Space","B｜Social Identity / Context","context_fact","迁移可能性","high",""
"R013","S01","relationship_trait","经济稳定性","Person Feature Space","C｜Perceived Traits / Lay Labels","lay_label","经济稳定性","medium",""
"R014","S01","relationship_trait","事业投入","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","事业投入","high",""
"R015","S01","relationship_trait","日常可用时间","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","日常可用时间","high",""
"R016","S01","relationship_trait","回应性","Relationship Process","G｜Relationship Process","relationship_process","回应性","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R017","S01","relationship_trait","危机可靠性","Relationship Process","G｜Relationship Process","relationship_process","危机可靠性","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R018","S01","relationship_trait","自主空间需要","Partner Need / Fit Library","H｜Compatibility / Needs / Fit","need","自主空间需要","high","May also describe the person, but content use is primarily relational fit."
"R019","S01","relationship_trait","家庭投入","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","家庭投入","high",""
"R020","S01","relationship_trait","社交能量","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","社交能量","high",""
"R021","S01","relationship_trait","可预测性","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","可预测性","high",""
"R022","S01","relationship_trait","公平","Relationship Process","G｜Relationship Process","relationship_process","公平","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R023","S01","relationship_trait","边界尊重","Relationship Process","G｜Relationship Process","relationship_process","边界尊重","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R024","S02","person_material","外向/内向","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","外向/内向","medium",""
"R025","S02","person_material","谨慎/冒险","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","谨慎/冒险","medium",""
"R026","S02","person_material","情绪反应","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","情绪反应","medium",""
"R027","S02","person_material","责任倾向","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","责任倾向","medium",""
"R028","S02","person_material","自我控制","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","自我控制","medium",""
"R029","S02","person_material","依恋和防御方式","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","依恋和防御方式","medium",""
"R030","S02","person_material","事业与家庭排序","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","事业与家庭排序","high",""
"R031","S02","person_material","是否要孩子","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","是否要孩子","high",""
"R032","S02","person_material","钱","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","钱","high",""
"R033","S02","person_material","自由","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","自由","high",""
"R034","S02","person_material","安全","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","安全","high",""
"R035","S02","person_material","忠诚","Person Feature Space","D｜Values / Goals / Priorities","value_goal_need","忠诚","high",""
"R036","S02","person_material","陪伴需要","Partner Need / Fit Library","H｜Compatibility / Needs / Fit","need","陪伴需要","high","May also describe the person, but content use is primarily relational fit."
"R037","S02","person_material","空间需要","Partner Need / Fit Library","H｜Compatibility / Needs / Fit","need","空间需要","high","May also describe the person, but content use is primarily relational fit."
"R038","S02","person_material","认可需要","Partner Need / Fit Library","H｜Compatibility / Needs / Fit","need","认可需要","high","May also describe the person, but content use is primarily relational fit."
"R039","S02","person_material","成长需要","Partner Need / Fit Library","H｜Compatibility / Needs / Fit","need","成长需要","high","May also describe the person, but content use is primarily relational fit."
"R040","S02","person_material","逻辑能力","Person Feature Space","E｜Capabilities / Regulation","capability","逻辑能力","high",""
"R041","S02","person_material","结构化能力","Person Feature Space","E｜Capabilities / Regulation","capability","结构化能力","high",""
"R042","S02","person_material","决策能力","Person Feature Space","E｜Capabilities / Regulation","capability","决策能力","high",""
"R043","S02","person_material","作息","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","作息","high",""
"R044","S02","person_material","消费","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","消费","high",""
"R045","S02","person_material","运动","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","运动","high",""
"R046","S02","person_material","社交","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","社交","high",""
"R047","S02","person_material","饮食","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","饮食","high",""
"R048","S02","person_material","整洁","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","整洁","high",""
"R049","S02","person_material","冲突处理习惯","Relationship Process","G｜Relationship Process","relationship_process","冲突处理习惯","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R050","S02","person_material","原生家庭","Person Feature Space","B｜Social Identity / Context","context_state","原生家庭","high",""
"R051","S02","person_material","过去关系","Person Feature Space","B｜Social Identity / Context","context_state","过去关系","high",""
"R052","S02","person_material","工作经历","Person Feature Space","B｜Social Identity / Context","context_state","工作经历","high",""
"R053","S02","person_material","成功经历","Person Feature Space","B｜Social Identity / Context","context_state","成功经历","high",""
"R054","S02","person_material","失败经历","Person Feature Space","B｜Social Identity / Context","context_state","失败经历","high",""
"R055","S02","person_material","长期照护经历","Person Feature Space","B｜Social Identity / Context","context_state","长期照护经历","high",""
"R056","S02","person_material","创业经历","Person Feature Space","B｜Social Identity / Context","context_state","创业经历","high",""
"R057","S02","person_material","疾病经历","Person Feature Space","B｜Social Identity / Context","context_state","疾病经历","high",""
"R058","S02","person_material","失业","Person Feature Space","C｜Perceived Traits / Lay Labels","person_tendency","失业","medium",""
"R059","S02","person_material","父母生病","Person Feature Space","B｜Social Identity / Context","context_state","父母生病","high",""
"R060","S02","person_material","带孩子","Person Feature Space","B｜Social Identity / Context","context_state","带孩子","high",""
"R061","S02","person_material","债务","Person Feature Space","B｜Social Identity / Context","context_state","债务","high",""
"R062","S02","person_material","身体状态","Person Feature Space","B｜Social Identity / Context","context_state","身体状态","high",""
"R063","S02","person_material","当前压力","Person Feature Space","B｜Social Identity / Context","context_state","当前压力","high",""
"R064","S03","information_model","现实事实","Reference Model","Internal Architecture View","upper_level_view","现实事实","high",""
"R065","S03","information_model","资源分配","Reference Model","Internal Architecture View","upper_level_view","资源分配","high",""
"R066","S03","information_model","关系过程","Reference Model","Internal Architecture View","upper_level_view","关系过程","high",""
"R067","S03","information_model","生活事件领域","Reference Model","Internal Architecture View","upper_level_view","生活事件领域","high",""
"R068","S03","resource_allocation","时间","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","时间","high",""
"R069","S03","resource_allocation","钱","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","钱","high",""
"R070","S03","resource_allocation","精力","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","精力","high",""
"R071","S03","resource_allocation","注意力","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","注意力","high",""
"R072","S03","resource_allocation","空间","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","空间","high",""
"R073","S03","resource_allocation","计划性","Person Feature Space","F｜Lifestyle / Resource Allocation","resource_allocation","计划性","high",""
"R074","S03","relationship_process","回应","Relationship Process","G｜Relationship Process","relationship_process","回应","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R075","S03","relationship_process","可靠","Relationship Process","G｜Relationship Process","relationship_process","可靠","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R076","S03","relationship_process","公平","Relationship Process","G｜Relationship Process","relationship_process","公平","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R077","S03","relationship_process","边界","Relationship Process","G｜Relationship Process","relationship_process","边界","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R078","S03","relationship_process","冲突","Relationship Process","G｜Relationship Process","relationship_process","冲突","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R079","S03","relationship_process","修复","Relationship Process","G｜Relationship Process","relationship_process","修复","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R080","S03","event_domain","钱","Scene Library","Scene View","scene_domain","钱","high","Not a person feature; route to scene asset."
"R081","S03","event_domain","房","Scene Library","Scene View","scene_domain","房","high","Not a person feature; route to scene asset."
"R082","S03","event_domain","工作","Scene Library","Scene View","scene_domain","工作","high","Not a person feature; route to scene asset."
"R083","S03","event_domain","家务","Scene Library","Scene View","scene_domain","家务","high","Not a person feature; route to scene asset."
"R084","S03","event_domain","孩子","Scene Library","Scene View","scene_domain","孩子","high","Not a person feature; route to scene asset."
"R085","S03","event_domain","父母","Scene Library","Scene View","scene_domain","父母","high","Not a person feature; route to scene asset."
"R086","S03","event_domain","社交","Scene Library","Scene View","scene_domain","社交","high","Not a person feature; route to scene asset."
"R087","S03","event_domain","健康","Scene Library","Scene View","scene_domain","健康","high","Not a person feature; route to scene asset."
"R088","S03","event_domain","亲密","Scene Library","Scene View","scene_domain","亲密","high","Not a person feature; route to scene asset."
"R089","S03","event_domain","迁移","Scene Library","Scene View","scene_domain","迁移","high","Not a person feature; route to scene asset."
"R090","S03","event_domain","休闲","Scene Library","Scene View","scene_domain","休闲","high","Not a person feature; route to scene asset."
"R091","S04","search_filter","地区","Person Feature Space","A｜Profile / Reality Facts","profile_fact","地区","high",""
"R092","S04","search_filter","年龄","Person Feature Space","A｜Profile / Reality Facts","profile_fact","年龄","high",""
"R093","S04","search_filter","身高","Person Feature Space","A｜Profile / Reality Facts","profile_fact","身高","high",""
"R094","S04","search_filter","婚史","Person Feature Space","B｜Social Identity / Context","context_fact","婚史","high",""
"R095","S04","search_filter","学历","Person Feature Space","A｜Profile / Reality Facts","profile_fact","学历","high",""
"R096","S04","search_filter","月薪","Person Feature Space","A｜Profile / Reality Facts","profile_fact","月薪","high",""
"R097","S04","search_filter","住房","Person Feature Space","A｜Profile / Reality Facts","profile_fact","住房","high",""
"R098","S04","search_filter","购车","Person Feature Space","A｜Profile / Reality Facts","profile_fact","购车","high",""
