"priority_id","topic","primary_series_id","primary_series_name","secondary_series_ids","validated_episode","status"
"P01","大厂 / 高强度职业：高薪，但没时间","S01","工作岗位 / 工作方式系列","S05;S04","001","validated_script"
"P02","事业心强：平时忙没关系，关键时候呢？","S07","人生目标 / 价值选择系列","S01;S04","","priority"
"P03","工作稳定：稳定很好，面对事业机会时呢？","S05","钱 / 现实条件系列","S07;S01","","priority"
"P04","会赚钱：大额共同支出时怎样一起决定？","S08","能力 / 成熟度系列","S05;S04","","priority"
"P05","有房：你要的是房，还是稳定的居住生活？","S05","钱 / 现实条件系列","S07","","priority"
"P06","家庭条件好：父母资源什么时候也会变成介入？","S06","家庭 / 原生家庭系列","S05","","priority"
"P07","本地人 / 城市稳定：事业换城市时谁跟谁走？","S05","钱 / 现实条件系列","S07;S01","","priority"
"P08","父母同城 / 能帮带娃：轻松与边界怎么同时存在？","S06","家庭 / 原生家庭系列","S04","","priority"
"P09","顾家：他顾的是小家，还是整个大家庭？","S04","相处 / 关系方式系列","S06","002","validated_script"
"P10","孝顺：上有老下有小时，这份责任怎么和小家一起过？","S06","家庭 / 原生家庭系列","S07;S04","","priority"
"P11","独立：给彼此空间很好，婚后边界在哪里？","S04","相处 / 关系方式系列","S07;S03","","priority"
"P12","朋友多 / 爱社交：你也真的喜欢这样的周末吗？","S03","生活方式 / 习惯系列","S04","","priority"
"P13","自律 / 爱健身：你喜欢的是状态，还是这种生活？","S03","生活方式 / 习惯系列","S09","","priority"
"P14","节俭：钱是存下来了，日子呢？","S03","生活方式 / 习惯系列","S05","003","validated_script"
"P15","随性 / 计划性低：自由还是不可预测？","S03","生活方式 / 习惯系列","S02","","priority"
"P16","作息不一样：恋爱没问题，同居以后呢？","S03","生活方式 / 习惯系列","S04","","priority"
"P17","情绪稳定：他不发火，但你难受时能接住你吗？","S02","性格 / 气质系列","S04;S08","004","validated_script"
"P18","会沟通 / 会共情：父母冲突时到底怎么做？","S04","相处 / 关系方式系列","S08;S06","","priority"
"P19","脾气好 / 不吵架：是真的好相处，还是很多话没说？","S02","性格 / 气质系列","S04","","priority"
"P20","会道歉 / 会修复：同一个问题下一次还会不会回来？","S04","相处 / 关系方式系列","S08","","priority"
"P21","靠谱：平时不一定天天陪你，但需要时会不会出现？","S04","相处 / 关系方式系列","S08","","priority"
"P22","体贴 / 情绪价值：是真的理解，还是只会说好听的话？","S04","相处 / 关系方式系列","S02;S08","","priority"
"P23","边界感：尊重父母和尊重伴侣冲突时怎么画线？","S04","相处 / 关系方式系列","S06","","priority"
"P24","专一 / 忠诚：不是没有异性朋友，而是如何执行边界","S04","相处 / 关系方式系列","S07","","priority"
"P25","要不要孩子：为什么有些差异不是适应就能解决？","S07","人生目标 / 价值选择系列","S04","","priority"
"P26","高收入：怀孕后收入突变时，你真正需要什么安全？","S05","钱 / 现实条件系列","S07","","priority"
"P27","出差 / 轮班 / 996：这种工作方式进入带娃以后是什么样？","S01","工作岗位 / 工作方式系列","S03;S04","","priority"
"P28","忠诚 / 边界观：你们说的专一真的是一回事吗？","S07","人生目标 / 价值选择系列","S04","","priority"
"P29","生活能力强 / 会做饭：不等于会承担一个家","S08","能力 / 成熟度系列","S04;S03","005","validated_script"
"P30","会反思 / 能改：他说会改，和半年后形成新习惯是两回事","S08","能力 / 成熟度系列","S04","","priority"
